dataset,model,nb_class,thread_time_mean,process_time_mean,raw_time_mean,liczba_regul_mean,srednia_dlugosc_reguly_mean,suma_warunkow_mean,train_acc_mean,test_acc_mean,train_bacc_mean,test_bacc_mean,thread_time_std,process_time_std,raw_time_std,liczba_regul_std,srednia_dlugosc_reguly_std,suma_warunkow_std,train_acc_std,test_acc_std,train_bacc_std,test_bacc_std
anneal,AQ15,5,1.233,1.233,1.233,38.4,3.807,147.1,1.0,0.989,1.0,0.919,0.071,0.071,0.071,4.742,0.333,27.193,0.0,0.011,0.0,0.09
anneal,CN2_default,5,1.648,1.651,1.648,39.6,1.103,43.7,1.0,0.992,1.0,0.928,0.063,0.062,0.063,1.578,0.019,2.263,0.0,0.007,0.0,0.092
anneal,CN2_v2,5,0.748,0.748,0.749,41.7,1.242,51.8,0.995,0.977,0.963,0.906,0.037,0.037,0.037,1.567,0.05,3.225,0.001,0.014,0.02,0.084
anneal,IDS,5,3.781,3.782,3.782,16.5,1.938,32.0,0.761,0.762,0.2,0.21,0.339,0.339,0.339,2.635,0.029,5.292,0.001,0.006,0.0,0.021
anneal,JRip,5,0.051,0.197,0.053,7.4,1.764,13.0,0.992,0.985,0.943,0.905,0.035,0.215,0.035,0.843,0.165,1.491,0.004,0.008,0.027,0.097
anneal,LORD,5,0.117,0.117,0.117,33.4,2.059,68.8,,0.992,,,0.119,0.119,0.119,1.838,0.04,4.367,,0.009,,
anneal,MLRules,5,0.955,1.003,0.956,100.0,5.067,506.7,0.998,0.993,0.969,0.948,0.057,0.134,0.057,0.0,0.186,18.595,0.001,0.006,0.009,0.081
anneal,OneR,5,0.004,0.005,0.004,10.0,1.0,10.0,0.836,0.836,0.4,0.42,0.002,0.005,0.002,0.0,0.0,0.0,0.001,0.005,0.0,0.042
anneal,RuleKit_mincov-10perMinClass_measure-C2,5,0.71,0.71,0.71,29.5,2.297,67.9,0.995,0.99,0.96,0.946,0.414,0.414,0.414,2.068,0.161,7.866,0.002,0.01,0.015,0.063
anneal,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,5,0.652,0.652,0.652,24.4,2.388,58.3,0.978,0.972,0.91,0.926,0.417,0.417,0.417,0.699,0.134,4.111,0.018,0.03,0.049,0.082
anneal,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,5,0.575,0.575,0.575,46.2,2.324,107.7,0.994,0.983,0.946,0.924,0.162,0.162,0.162,3.327,0.189,14.878,0.01,0.022,0.04,0.109
anneal,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,5,0.534,0.534,0.534,12.9,3.24,41.8,0.971,0.964,0.959,0.943,0.156,0.156,0.156,0.316,0.28,3.765,0.017,0.017,0.032,0.09
anneal,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,5,0.517,0.517,0.517,21.8,2.472,53.8,0.969,0.959,0.902,0.868,0.113,0.113,0.113,1.751,0.171,4.541,0.025,0.027,0.063,0.106
anneal,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,5,0.619,0.619,0.619,12.9,3.24,41.8,0.971,0.964,0.959,0.943,0.378,0.378,0.378,0.316,0.28,3.765,0.017,0.017,0.032,0.09
anneal,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,5,0.64,0.64,0.64,16.2,2.769,44.8,0.972,0.963,0.909,0.909,0.403,0.403,0.403,0.632,0.195,2.573,0.016,0.025,0.052,0.074
anneal,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,5,0.542,0.542,0.542,29.2,2.286,66.9,0.987,0.976,0.947,0.91,0.135,0.135,0.135,1.398,0.163,7.37,0.023,0.028,0.048,0.107
anneal,RuleKit_mincov-10perMinClass_measure-Correlation,5,0.656,0.656,0.656,9.7,4.907,47.6,0.956,0.952,0.82,0.801,0.174,0.174,0.174,0.483,0.392,4.6,0.023,0.035,0.067,0.114
anneal,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,5,0.603,0.603,0.603,15.5,5.587,86.7,0.923,0.92,0.818,0.814,0.161,0.161,0.161,0.972,0.328,8.538,0.017,0.019,0.054,0.099
anneal,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,5,0.709,0.709,0.709,15.4,5.629,86.8,0.924,0.921,0.825,0.816,0.168,0.168,0.168,1.075,0.374,9.52,0.017,0.022,0.042,0.101
anneal,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,5,0.666,0.666,0.666,9.7,4.907,47.6,0.956,0.952,0.82,0.801,0.146,0.146,0.146,0.483,0.392,4.6,0.023,0.035,0.067,0.114
anneal,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,5,0.579,0.579,0.579,10.7,4.596,49.4,0.928,0.925,0.83,0.835,0.153,0.153,0.153,1.418,0.393,9.513,0.016,0.023,0.043,0.085
anneal,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,5,0.673,0.673,0.673,11.7,4.908,57.8,0.945,0.941,0.858,0.866,0.171,0.171,0.171,0.949,0.612,10.861,0.027,0.035,0.063,0.102
anneal,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,5,0.676,0.676,0.676,14.8,5.756,85.2,0.931,0.928,0.839,0.83,0.134,0.134,0.134,0.789,0.376,7.239,0.022,0.027,0.048,0.108
anneal,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,5,0.604,0.604,0.604,14.8,5.756,85.2,0.931,0.928,0.839,0.83,0.041,0.041,0.041,0.789,0.376,7.239,0.022,0.027,0.048,0.108
anneal,RuleKit_mincov-5_measure-C2,5,0.738,0.738,0.738,29.5,2.297,67.9,0.995,0.99,0.96,0.946,0.408,0.408,0.408,2.068,0.161,7.866,0.002,0.01,0.015,0.063
anneal,RuleKit_mincov-5_measure-C2_maxNbRules-10,5,0.625,0.625,0.625,24.4,2.388,58.3,0.978,0.972,0.91,0.926,0.417,0.417,0.417,0.699,0.134,4.111,0.018,0.03,0.049,0.082
anneal,RuleKit_mincov-5_measure-C2_maxNbRules-100,5,0.556,0.556,0.556,46.2,2.324,107.7,0.994,0.983,0.946,0.924,0.084,0.084,0.084,3.327,0.189,14.878,0.01,0.022,0.04,0.109
anneal,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,5,0.561,0.561,0.561,12.9,3.24,41.8,0.971,0.964,0.959,0.943,0.166,0.166,0.166,0.316,0.28,3.765,0.017,0.017,0.032,0.09
anneal,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,5,0.488,0.488,0.488,21.8,2.472,53.8,0.969,0.959,0.902,0.868,0.086,0.086,0.086,1.751,0.171,4.541,0.025,0.027,0.063,0.106
anneal,RuleKit_mincov-5_measure-C2_maxNbRules-3,5,0.64,0.64,0.64,12.9,3.24,41.8,0.971,0.964,0.959,0.943,0.296,0.296,0.296,0.316,0.28,3.765,0.017,0.017,0.032,0.09
anneal,RuleKit_mincov-5_measure-C2_maxNbRules-5,5,0.663,0.663,0.663,16.2,2.769,44.8,0.972,0.963,0.909,0.909,0.417,0.417,0.417,0.632,0.195,2.573,0.016,0.025,0.052,0.074
anneal,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,5,0.523,0.523,0.523,29.2,2.286,66.9,0.987,0.976,0.947,0.91,0.066,0.066,0.066,1.398,0.163,7.37,0.023,0.028,0.048,0.107
anneal,RuleKit_mincov-5_measure-Correlation,5,0.647,0.647,0.647,9.7,4.907,47.6,0.956,0.952,0.82,0.801,0.167,0.167,0.167,0.483,0.392,4.6,0.023,0.035,0.067,0.114
anneal,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,5,0.669,0.669,0.669,15.5,5.587,86.7,0.923,0.92,0.818,0.814,0.148,0.148,0.148,0.972,0.328,8.538,0.017,0.019,0.054,0.099
anneal,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,5,0.78,0.78,0.78,15.4,5.629,86.8,0.924,0.921,0.825,0.816,0.195,0.195,0.195,1.075,0.374,9.52,0.017,0.022,0.042,0.101
anneal,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,5,0.529,0.529,0.529,9.7,4.907,47.6,0.956,0.952,0.82,0.801,0.091,0.091,0.091,0.483,0.392,4.6,0.023,0.035,0.067,0.114
anneal,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,5,0.59,0.59,0.59,10.7,4.596,49.4,0.928,0.925,0.83,0.835,0.112,0.112,0.112,1.418,0.393,9.513,0.016,0.023,0.043,0.085
anneal,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,5,0.685,0.685,0.685,11.7,4.908,57.8,0.945,0.941,0.858,0.866,0.122,0.122,0.122,0.949,0.612,10.861,0.027,0.035,0.063,0.102
anneal,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,5,0.755,0.755,0.755,14.8,5.756,85.2,0.931,0.928,0.839,0.83,0.15,0.15,0.15,0.789,0.376,7.239,0.022,0.027,0.048,0.108
anneal,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,5,0.632,0.632,0.632,14.8,5.756,85.2,0.931,0.928,0.839,0.83,0.099,0.099,0.099,0.789,0.376,7.239,0.022,0.027,0.048,0.108
audiology,AQ15,24,,,,,,,,,,,,,,,,,,,,
audiology,CN2_default,24,3.552,3.553,3.552,104.5,1.328,138.8,0.457,0.269,0.524,0.282,0.116,0.116,0.116,2.759,0.024,5.453,0.313,0.26,0.304,0.242
audiology,CN2_v2,24,0.481,0.482,0.481,35.2,1.954,68.9,0.808,0.687,0.505,0.593,0.04,0.04,0.04,1.751,0.125,6.757,0.028,0.102,0.048,0.139
audiology,IDS,24,5.465,5.467,5.466,18.2,1.984,36.1,0.309,0.306,0.09,0.187,1.707,1.708,1.707,1.932,0.025,3.695,0.032,0.046,0.01,0.073
audiology,JRip,24,0.032,0.049,0.032,15.9,1.768,28.1,0.842,0.75,0.599,0.652,0.011,0.029,0.011,2.132,0.141,4.358,0.041,0.077,0.086,0.13
audiology,LORD,24,0.106,0.106,0.106,74.6,2.36,175.9,,0.697,,,0.105,0.105,0.105,5.103,0.07,11.09,,0.066,,
audiology,MLRules,24,0.263,0.317,0.263,100.0,6.214,621.4,0.878,0.764,0.409,0.627,0.031,0.156,0.031,0.0,0.382,38.173,0.015,0.054,0.038,0.102
audiology,OneR,24,0.001,0.001,0.001,2.0,1.0,2.0,0.464,0.467,0.085,0.191,0.001,0.001,0.001,0.0,0.0,0.0,0.004,0.033,0.004,0.029
audiology,RuleKit_mincov-10perMinClass_measure-C2,24,0.608,0.608,0.608,41.5,3.148,130.9,0.962,0.776,0.959,0.726,0.087,0.087,0.087,2.635,0.193,14.161,0.011,0.077,0.027,0.097
audiology,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,24,0.758,0.758,0.758,60.8,2.921,177.7,0.985,0.829,0.969,0.766,0.153,0.153,0.153,4.05,0.171,16.7,0.012,0.053,0.031,0.07
audiology,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,24,0.672,0.672,0.672,81.2,2.525,205.1,0.991,0.825,0.984,0.761,0.11,0.11,0.11,5.959,0.128,19.342,0.01,0.05,0.025,0.074
audiology,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,24,0.631,0.631,0.631,43.2,3.403,147.1,0.975,0.805,0.957,0.734,0.068,0.068,0.068,2.044,0.183,11.911,0.013,0.058,0.028,0.06
audiology,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,24,0.708,0.708,0.708,61.3,2.879,176.5,0.989,0.82,0.979,0.765,0.106,0.106,0.106,4.62,0.16,16.741,0.009,0.049,0.026,0.073
audiology,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,24,0.655,0.655,0.655,38.5,3.437,132.3,0.973,0.82,0.956,0.747,0.073,0.073,0.073,1.434,0.082,4.668,0.009,0.048,0.026,0.068
audiology,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,24,0.626,0.626,0.626,47.3,3.272,154.7,0.973,0.797,0.948,0.73,0.112,0.112,0.112,2.669,0.209,12.419,0.005,0.043,0.018,0.078
audiology,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,24,0.656,0.656,0.656,70.5,2.711,191.2,0.991,0.825,0.984,0.767,0.138,0.138,0.138,5.523,0.149,19.6,0.01,0.055,0.025,0.072
audiology,RuleKit_mincov-10perMinClass_measure-Correlation,24,0.637,0.637,0.637,31.5,3.271,103.2,0.947,0.793,0.958,0.727,0.055,0.055,0.055,1.354,0.315,12.237,0.025,0.07,0.034,0.092
audiology,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,24,0.718,0.718,0.718,37.5,3.945,148.3,0.939,0.796,0.902,0.705,0.089,0.089,0.089,2.068,0.336,17.969,0.02,0.047,0.042,0.084
audiology,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,24,0.775,0.775,0.775,37.8,3.957,149.9,0.938,0.792,0.9,0.696,0.147,0.147,0.147,2.044,0.34,17.572,0.02,0.049,0.041,0.088
audiology,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,24,0.65,0.65,0.65,35.0,3.683,129.0,0.953,0.809,0.925,0.721,0.125,0.125,0.125,1.563,0.312,13.266,0.021,0.048,0.029,0.059
audiology,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,24,0.8,0.8,0.8,37.4,3.932,147.5,0.94,0.796,0.902,0.705,0.091,0.091,0.091,2.171,0.35,18.975,0.021,0.047,0.042,0.084
